Squad,Participaciones,W_t,D_t,L_t,GF_t,GA_t,GD_t,Pts_t,Stage_pts_t,Titulos
es Athletic Club,1,3.0,2.0,3.0,9.0,8.0,1.0,11.0,0.0,0
eng Tottenham,6,23.0,14.0,18.0,95.0,77.0,18.0,83.0,14.0,0
eng Leicester City,1,5.0,2.0,3.0,11.0,10.0,1.0,17.0,3.0,0
eng Arsenal,14,72.0,34.0,36.0,243.0,147.0,96.0,250.0,36.0,0
dk Nordsjælland,1,0.0,1.0,5.0,4.0,22.0,-18.0,1.0,0.0,0
dk Midtjylland,1,0.0,2.0,4.0,4.0,13.0,-9.0,2.0,0.0,0
dk FC Copenhagen,5,10.0,14.0,16.0,36.0,50.0,-14.0,44.0,2.0,0
dk Aalborg,1,5.0,3.0,2.0,20.0,15.0,5.0,18.0,0.0,0
de Wolfsburg,3,10.0,3.0,9.0,29.0,29.0,0.0,33.0,3.0,0
ua Shakhtar,16,45.0,31.0,46.0,170.0,190.0,-20.0,166.0,9.0,0
